,Store,Dept,Date,Weekly_Sales
67790,7,92,2010-02-05,23071.14
67791,7,92,2010-02-12,24200.25
67792,7,92,2010-02-19,22774.94
67793,7,92,2010-02-26,22453.44
67794,7,92,2010-03-05,22854.68
67795,7,92,2010-03-12,23464.47
67796,7,92,2010-03-19,26921.01
67797,7,92,2010-03-26,23720.05
67798,7,92,2010-04-02,24548.3
67799,7,92,2010-04-09,19008.23
67800,7,92,2010-04-16,14781.33
67801,7,92,2010-04-23,15562.32
67802,7,92,2010-04-30,15857.31
67803,7,92,2010-05-07,16773.45
67804,7,92,2010-05-14,14158.79
67805,7,92,2010-05-21,15921.92
67806,7,92,2010-05-28,14790.57
67807,7,92,2010-06-04,15992.08
67808,7,92,2010-06-11,17466.23
67809,7,92,2010-06-18,20092.63
67810,7,92,2010-06-25,20156.82
67811,7,92,2010-07-02,24883.56
67812,7,92,2010-07-09,23201.49
67813,7,92,2010-07-16,23567.96
67814,7,92,2010-07-23,23817.4
67815,7,92,2010-07-30,24932.14
67816,7,92,2010-08-06,30339.75
67817,7,92,2010-08-13,26085.52
67818,7,92,2010-08-20,25266.23
67819,7,92,2010-08-27,23568.72
67820,7,92,2010-09-03,23820.57
67821,7,92,2010-09-10,23241.44
67822,7,92,2010-09-17,20699.17
67823,7,92,2010-09-24,20699.89
67824,7,92,2010-10-01,20268.38
67825,7,92,2010-10-08,22222.64
67826,7,92,2010-10-15,21905.74
67827,7,92,2010-10-22,21878.11
67828,7,92,2010-10-29,20614.82
67829,7,92,2010-11-05,22176.7
67830,7,92,2010-11-12,24336.31
67831,7,92,2010-11-19,28105.99
67832,7,92,2010-11-26,31053.27
67833,7,92,2010-12-03,25343.41
67834,7,92,2010-12-10,27553.17
67835,7,92,2010-12-17,31650.52
67836,7,92,2010-12-24,38987.38
67837,7,92,2010-12-31,32243.06
67838,7,92,2011-01-07,38032.36
67839,7,92,2011-01-14,30437.96
67840,7,92,2011-01-21,26552.1
67841,7,92,2011-01-28,28217.15
67842,7,92,2011-02-04,29167.05
67843,7,92,2011-02-11,29232.69
67844,7,92,2011-02-18,28964.53
67845,7,92,2011-02-25,28281.57
67846,7,92,2011-03-04,26982.89
67847,7,92,2011-03-11,29741.41
67848,7,92,2011-03-18,35165.32
67849,7,92,2011-03-25,28541.26
67850,7,92,2011-04-01,25133.99
67851,7,92,2011-04-08,24752.14
67852,7,92,2011-04-15,20466.1
67853,7,92,2011-04-22,21515.86
67854,7,92,2011-04-29,18884.51
67855,7,92,2011-05-06,19446.81
67856,7,92,2011-05-13,18531.65
67857,7,92,2011-05-20,19937.64
67858,7,92,2011-05-27,21015.13
67859,7,92,2011-06-03,22163.35
67860,7,92,2011-06-10,24695.49
67861,7,92,2011-06-17,23984.0
67862,7,92,2011-06-24,25403.34
67863,7,92,2011-07-01,29697.41
67864,7,92,2011-07-08,31141.31
67865,7,92,2011-07-15,29072.89
67866,7,92,2011-07-22,30169.51
67867,7,92,2011-07-29,29607.07
67868,7,92,2011-08-05,31745.3
67869,7,92,2011-08-12,30362.92
67870,7,92,2011-08-19,29102.47
67871,7,92,2011-08-26,28262.15
67872,7,92,2011-09-02,25954.18
67873,7,92,2011-09-09,28880.17
67874,7,92,2011-09-16,26753.86
67875,7,92,2011-09-23,24356.84
67876,7,92,2011-09-30,22515.35
67877,7,92,2011-10-07,26660.51
67878,7,92,2011-10-14,25165.23
67879,7,92,2011-10-21,24632.25
67880,7,92,2011-10-28,24774.61
67881,7,92,2011-11-04,27636.96
67882,7,92,2011-11-11,29109.08
67883,7,92,2011-11-18,28838.95
67884,7,92,2011-11-25,34948.04
67885,7,92,2011-12-02,28349.99
67886,7,92,2011-12-09,32847.01
67887,7,92,2011-12-16,35837.87
67888,7,92,2011-12-23,44365.3
67889,7,92,2011-12-30,37651.82
67890,7,92,2012-01-06,40549.69
67891,7,92,2012-01-13,34372.75
67892,7,92,2012-01-20,32748.92
67893,7,92,2012-01-27,30899.09
67894,7,92,2012-02-03,33913.0
67895,7,92,2012-02-10,32218.04
67896,7,92,2012-02-17,31215.43
67897,7,92,2012-02-24,31973.3
67898,7,92,2012-03-02,31148.67
67899,7,92,2012-03-09,32856.62
67900,7,92,2012-03-16,37599.89
67901,7,92,2012-03-23,31351.31
67902,7,92,2012-03-30,27595.76
67903,7,92,2012-04-06,31207.68
67904,7,92,2012-04-13,22076.3
67905,7,92,2012-04-20,22950.81
67906,7,92,2012-04-27,20521.34
67907,7,92,2012-05-04,22322.63
67908,7,92,2012-05-11,21980.28
67909,7,92,2012-05-18,21910.46
67910,7,92,2012-05-25,25123.85
67911,7,92,2012-06-01,24478.49
67912,7,92,2012-06-08,27381.23
67913,7,92,2012-06-15,29149.74
67914,7,92,2012-06-22,29139.52
67915,7,92,2012-06-29,31324.32
67916,7,92,2012-07-06,35491.79
67917,7,92,2012-07-13,33039.85
67918,7,92,2012-07-20,33527.53
67919,7,92,2012-07-27,33443.64
67920,7,92,2012-08-03,34065.36
67921,7,92,2012-08-10,31652.72
67922,7,92,2012-08-17,30607.97
67923,7,92,2012-08-24,29719.2
67924,7,92,2012-08-31,26928.22
67925,7,92,2012-09-07,27815.0
67926,7,92,2012-09-14,25500.31
67927,7,92,2012-09-21,25074.52
67928,7,92,2012-09-28,24303.85
67929,7,92,2012-10-05,26391.65
67930,7,92,2012-10-12,26521.52
67931,7,92,2012-10-19,26015.64
67932,7,92,2012-10-26,25090.81
